manuscriptID,cluster,betweenness,scaled_betweenness,eigen,scaled_eigen,interaction_score,residuals,keystatus
NIESSRON2009,6,34.70929778416556,0.010729806352634878,0.08388750714913244,0.08340697122595883,9.039804542568964e-4,0.03363289017694014,Pulse-Taker
KLEINERT2007,6,39.359658473528,0.010827585996413452,0.08054482500462096,0.0800625357172451,8.756403945145403e-4,0.03015429831436343,Pulse-Taker
HARRISGR2010,6,23.091301897463214,0.010485523473282897,0.07648631408103,0.07600189594997109,8.049693575731578e-4,0.026571240350947226,Pulse-Taker
ARCHAMBA2009,6,37.62316499253857,0.01079107405135436,0.07283852007625237,0.07235218853819016,7.8864426696279e-4,0.02249874350091888,Pulse-Taker
HARRISHO2009,6,32.13193468510255,0.01067561407325085,0.06660016051973246,0.06611055672428703,7.12899787632573e-4,0.016420868606292414,Pulse-Taker
SHOFFNER2007,6,16.85965745278394,0.010354495362850668,0.06460689213612286,0.06411624279543018,6.70597311826959e-4,0.014873942137108192,Pulse-Taker
MACKINNO2006,6,20.07226725334431,0.010422044497827857,0.061840638125535495,0.06134853777916929,6.458355460718947e-4,0.012013797583095552,Pulse-Taker
BIELEFEL2001,6,7.290656084542098,0.010153295153317745,0.06324550332368396,0.0627541398826653,6.435972770922116e-4,0.013792213412347761,Pulse-Taker
PIERSONT2005,6,7.290656084542098,0.010153295153317745,0.06324550332368395,0.06275413988266529,6.435972770922115e-4,0.013792213412347747,Pulse-Taker
JONASSEN2008,6,23.03145021690679,0.010484265016918912,0.06052109684022305,0.060028304344154,6.357097487478539e-4,0.010607772313174942,Pulse-Taker
TONDEUR2013,6,4.198678152948326,0.010088282454106257,0.06142765648168936,0.06093533951070879,6.20942339819082e-4,0.012064731571482658,Pulse-Taker
SAHINCEL2013,6,1.6396677325663895,0.010034476062721825,0.05928465246369738,0.05879121140542166,5.958979833799212e-4,0.009996516243657374,Pulse-Taker
SAHINAKT2009,6,1.6396677325663895,0.010034476062721825,0.05928465246369737,0.05879121140542165,5.958979833799211e-4,0.009996516243657367,Pulse-Taker
ZIMMERMA2011,6,1.6396677325663895,0.010034476062721825,0.05928465246369737,0.05879121140542165,5.958979833799211e-4,0.009996516243657367,Pulse-Taker
AIKENWES1991,6,1.6396677325663895,0.010034476062721825,0.05928465246369736,0.05879121140542164,5.95897983379921e-4,0.009996516243657353,Pulse-Taker
BROPHY2010,6,1.6396677325663895,0.010034476062721825,0.05928465246369736,0.05879121140542164,5.95897983379921e-4,0.009996516243657353,Pulse-Taker
TABACHNI2013,6,1.6396677325663895,0.010034476062721825,0.05928465246369736,0.05879121140542164,5.95897983379921e-4,0.009996516243657353,Pulse-Taker
WANG2009,6,1.6396677325663895,0.010034476062721825,0.05928465246369736,0.05879121140542164,5.95897983379921e-4,0.009996516243657353,Pulse-Taker
BANDURAL2003,6,1.6396677325663895,0.010034476062721825,0.05928465246369735,0.05879121140542163,5.958979833799209e-4,0.009996516243657346,Pulse-Taker
DECI1975,6,1.6396677325663895,0.010034476062721825,0.05928465246369735,0.05879121140542163,5.958979833799209e-4,0.009996516243657346,Pulse-Taker
LATHAM2012,6,1.6396677325663895,0.010034476062721825,0.05928465246369735,0.05879121140542163,5.958979833799209e-4,0.009996516243657346,Pulse-Taker
LOCKELAT1990,6,1.6396677325663895,0.010034476062721825,0.05928465246369735,0.05879121140542163,5.958979833799209e-4,0.009996516243657346,Pulse-Taker
PALLANT2013,6,1.6396677325663895,0.010034476062721825,0.05928465246369735,0.05879121140542163,5.958979833799209e-4,0.009996516243657346,Pulse-Taker
VOOGTFIS2012,6,1.6396677325663895,0.010034476062721825,0.05928465246369735,0.05879121140542163,5.958979833799209e-4,0.009996516243657346,Pulse-Taker
LOCKELAT1984,6,1.6396677325663895,0.010034476062721825,0.05928465246369734,0.058791211405421616,5.958979833799208e-4,0.009996516243657333,Pulse-Taker
LOCKELAT2004,6,1.6396677325663895,0.010034476062721825,0.05928465246369734,0.058791211405421616,5.958979833799208e-4,0.009996516243657333,Pulse-Taker
ROVALBAK2013,6,1.6396677325663895,0.010034476062721825,0.05928465246369734,0.058791211405421616,5.958979833799208e-4,0.009996516243657333,Pulse-Taker
VOGT2007,6,1.6396677325663895,0.010034476062721825,0.05928465246369734,0.058791211405421616,5.958979833799208e-4,0.009996516243657333,Pulse-Taker
YURDAKUL2012,6,1.6396677325663895,0.010034476062721825,0.05928465246369734,0.058791211405421616,5.958979833799208e-4,0.009996516243657333,Pulse-Taker
LOCKELAT2013,6,1.6396677325663895,0.010034476062721825,0.05928465246369733,0.05879121140542161,5.958979833799206e-4,0.009996516243657326,Pulse-Taker
PINTRICH1993,6,1.6396677325663895,0.010034476062721825,0.05928465246369733,0.05879121140542161,5.958979833799206e-4,0.009996516243657326,Pulse-Taker
STIPEK2002,6,1.6396677325663895,0.010034476062721825,0.05928465246369731,0.05879121140542159,5.958979833799204e-4,0.009996516243657305,Pulse-Taker
BOBKO2001,6,1.6396677325663895,0.010034476062721825,0.059284652463697296,0.058791211405421574,5.958979833799203e-4,0.009996516243657291,Pulse-Taker
HAYES2005,6,1.6396677325663895,0.010034476062721825,0.059284652463697296,0.058791211405421574,5.958979833799203e-4,0.009996516243657291,Pulse-Taker
REEVERYA2008,6,1.6396677325663895,0.010034476062721825,0.059284652463697296,0.058791211405421574,5.958979833799203e-4,0.009996516243657291,Pulse-Taker
ARTINOST2009,6,1.6396677325663895,0.010034476062721825,0.05928465246369729,0.05879121140542157,5.958979833799202e-4,0.009996516243657284,Pulse-Taker
