manuscriptID,cluster,betweenness,scaled_betweenness,eigen,scaled_eigen,interaction_score,residuals,keystatus
MISHRA2006,1,1023.5,0.7114195804195804,0.2591694041044896,0.25014103432232826,0.1797527572558693,-0.2682143376910955,Hub
KAY2006,1,379.5,0.2700769230769231,0.3672663838074154,0.3595553725556656,0.09808849363193023,0.10001349815155915,Hub
ERTMER1999,1,379.5,0.2700769230769231,0.3672663838074152,0.35955537255566544,0.09808849363193019,0.10001349815155898,Hub
VYGOTSKY1978,1,221.5,0.1617972027972028,0.16959628654847714,0.15947630522608355,0.026063454644457834,-0.03383567477496119,Hub
MISHRA2006,2,15098.791555486832,0.99,1,1,1,-0.26284725634989603,Hub
NIESS2005,2,4873.92027193431,0.32634597040051766,0.713509041883351,0.7119614902263337,0.23469269031890053,0.2537589337867593,Hub
SCHMIDT2009,2,3686.921705113539,0.24930281160138631,0.5170463295293464,0.5144375360165854,0.1295461859820446,0.1505272399520721,Hub
ISTE2008,2,2835.8489701218514,0.19406320668156324,0.35666098146303155,0.35318582688675565,0.06923270113143765,0.056988120798918865,Hub
ERTMER2005,2,1780.6891646166603,0.12557715562277397,0.33914178184046845,0.335571992981199,0.04256583473257014,0.12234486232544685,Hub
TONDEUR2012,2,1171.4339665089988,0.08603292508277847,0.4088105628364924,0.40561710710194543,0.035248915341005056,0.2398666772218415,Hub
SANDHOLT1997,2,1412.7436410226628,0.10169533622040716,0.22178631539141191,0.21758260200008334,0.022350642288999505,0.0338891240505959,Hub
KOEHLER2007,2,487.83315308057627,0.04166322869363899,0.3573829559378214,0.35391170128495714,0.01489404459392931,0.24213146884667164,Hub
KAY2006,2,889.1755615447984,0.06771270151731067,0.2158926636391735,0.211657114232513,0.014476641414183313,0.06911834024306207,Hub
SHULMAN1986,2,545.0760273012944,0.045378626480948536,0.2610936278015617,0.2571022425648566,0.01178479457855036,0.1413460851836857,Hub
JANGCHEN2010,2,553.1898149607899,0.04590525881950917,0.2577596202000016,0.25375022549792897,0.011766131087869945,0.13737479232442698,Hub
NRC2012,2,983.9721775358101,0.07386555708391605,0.15988421861976673,0.15534612576647694,0.011590634465221118,0.005664237488197304,Hub
NRC1996,2,854.437526239092,0.06545799957811997,0.152271974158117,0.14769276188658206,0.009765326005316426,0.008226097538133833,Hub
LEI2009,2,771.9249951271551,0.06010245306351741,0.15840152106262262,0.15385541905233707,0.009340493032485749,0.02083646719272647,Hub
POLLY2011,2,548.8302518583648,0.04562229764180988,0.20415998348522613,0.19986105710941848,0.009210222863083487,0.08411757094164886,Hub
POLLY2010,2,267.0270890949195,0.0273316219613566,0.288123831772111,0.2842784568570549,0.007848274055126107,0.1902152251325875,Hub
ERTMER2010,2,611.15807267659,0.0496677382439529,0.15311855794157303,0.14854391870140182,0.007452364112921461,0.02818070038281231,Hub
ANDERSON2007,2,1034.825941723549,0.07716626421142611,0.09757077844961527,0.09269608416141911,0.007225263153297635,-0.06064343516318003,Hub
ANGELIVA2005,2,245.51362007730287,0.025935271825666247,0.2162235558742243,0.21198979386368272,0.005553548412244006,0.12000469232661393,Hub
SANGVALC2010,2,255.8997965207277,0.02660939550484623,0.20904975699071796,0.20477724393399238,0.005504039064880784,0.11201512682349377,Hub
MISHRA2009,2,189.2278531207117,0.022281995905222507,0.2406652537841781,0.23656351964058744,0.00532435088480464,0.14886727121164672,Hub
GRAHAMBU2009,2,261.1316718112867,0.0269489748523659,0.1893430162039166,0.18496405232040225,0.005034941004620415,0.09189745625485508,Hub
KOEHLER2009,2,376.12813747085244,0.03441291896552382,0.13472082105063604,0.13004680189146808,0.004520495005269314,0.028243036531768587,Hub
POLLYMIM2010,2,284.87311355474094,0.02848993346637698,0.15524771247859495,0.15068457439243388,0.004336357069545226,0.05593741666823607,Hub
MILESHUB1994,2,236.12749008915492,0.0253260570183367,0.1723163649517019,0.16784542740684746,0.004293800873507992,0.07683472087782142,Hub
MCCRORY2008,2,210.93705928459218,0.023691050528065596,0.16506705358215623,0.16055695709177722,0.0038421848314078326,0.07156395403772704,Hub
KOEHLER2008,2,254.50836981402261,0.026519083762508444,0.14531901467060598,0.1407022442714191,0.003768984445865341,0.04839367202291817,Hub
CHAIKOHT2010,2,175.95604151107705,0.021420577603655486,0.17363570054367689,0.16917188971582234,0.0036603632242573937,0.0828801324681375,Hub
KIMHANNA2007,2,180.82304100385315,0.02173647437495619,0.15955160650766145,0.1550117169679121,0.0034034426400919022,0.06841376727145854,Hub
WILLIAMS2004,2,180.82304100385315,0.02173647437495619,0.15955160650766145,0.1550117169679121,0.0034034426400919022,0.06841376727145854,Hub
ERTMER1999,2,159.9071320751014,0.02037890938872204,0.16356250815256793,0.15904428448851501,0.0032738879418036143,0.07406747754915693,Hub
NIESS2011,2,185.65538264811516,0.022050121648910098,0.15121120005321628,0.14662625774840368,0.0032657846669462104,0.05969381180497493,Hub
FOULGER2012,2,242.59518092176612,0.02574584803225103,0.12751306924379827,0.1228001156333465,0.003193528399433326,0.03152343011360745,Hub
NIESS2008,2,94.3059094353894,0.016121005837258326,0.1786460719474988,0.17420932587805485,0.002836797534732283,0.09430359078582301,Hub
KALANTZI2008,2,265.53821694594035,0.027234985439113242,0.10458336518949483,0.09974655112027878,0.002744036229659149,0.006791699775322731,Hub
CCSSI2010,2,115.96052629453925,0.017526517294514987,0.1537829144147926,0.14921186386016924,0.0026415801136283556,0.06773960391611816,Hub
LAWLESSP2007,2,317.3256821470078,0.030596295230730514,0.08887604952925524,0.08395438851569896,0.002594639653476542,-0.012983184508997807,Hub
HARRIS2009,2,100.1297628925514,0.016499008034788147,0.16017158379855,0.15563504321923605,0.0025937614429987635,0.07537167681961084,Hub
OTTENBRE2010,2,71.25828403583229,0.014625079967392398,0.1666127077172115,0.16211096045933046,0.002394834101321712,0.0840804676548216,Hub
THOMPSON2007,2,65.99984413023395,0.014283776420777522,0.1666351198746469,0.16213349368156876,0.0023392712869364377,0.08451589607185926,Hub
HARRISMI2009,2,279.48886441261357,0.028140464163493112,0.08557889337848021,0.08063942196176804,0.002292152286747407,-0.013308504674868922,Hub
JONASSEN2008,2,49.052669379086716,0.013183805526081057,0.17313062487300404,0.16866408575418979,0.002246095460421714,0.09234249144154359,Hub
